valute,date,buy,sell
USD,07-04-2025,39.20000,41.72000
USD,04-04-2025,39.20000,41.70000
USD,03-04-2025,39.20000,41.85000
USD,02-04-2025,39.20000,41.90000
USD,01-04-2025,39.20000,41.90000
USD,31-03-2025,39.20000,42.00000
USD,28-03-2025,39.20000,42.10000
USD,27-03-2025,39.20000,42.10000
USD,26-03-2025,39.20000,42.15000
USD,25-03-2025,39.20000,42.25000
USD,24-03-2025,39.20000,42.25000
EUR,17-10-2025,48.10000,49.40000
EUR,16-10-2025,48.00000,49.10000
EUR,15-10-2025,48.00000,49.15000
EUR,14-10-2025,47.80000,48.90000
EUR,13-10-2025,47.90000,49.00000
EUR,10-10-2025,47.80000,48.80000
EUR,09-10-2025,47.90000,48.95000
EUR,08-10-2025,47.80000,48.70000
EUR,07-10-2025,47.90000,48.80000
EUR,06-10-2025,47.90000,48.70000
EUR,03-10-2025,47.20000,49.00000
EUR,02-10-2025,47.50000,48.89000
EUR,01-10-2025,47.90000,49.00000
EUR,30-09-2025,47.90000,48.85000
EUR,29-09-2025,47.90000,48.90000
EUR,26-09-2025,47.90000,49.00000
EUR,25-09-2025,48.10000,49.25000
EUR,24-09-2025,47.90000,49.30000
EUR,23-09-2025,47.90000,49.30000
EUR,22-09-2025,47.80000,49.10000
EUR,19-09-2025,47.80000,49.00000
EUR,18-09-2025,47.80000,49.20000
EUR,17-09-2025,47.80000,49.35000
EUR,16-09-2025,47.80000,49.00000
EUR,15-09-2025,47.70000,48.90000
EUR,12-09-2025,47.80000,48.90000
EUR,11-09-2025,47.70000,48.80000
EUR,10-09-2025,47.70000,48.80000
EUR,09-09-2025,47.80000,48.80000
EUR,08-09-2025,47.80000,48.70000
EUR,05-09-2025,47.60000,48.82000
EUR,04-09-2025,47.60000,48.80000
EUR,03-09-2025,47.70000,48.75000
EUR,02-09-2025,47.80000,48.80000
EUR,01-09-2025,47.80000,49.00000
EUR,29-08-2025,47.50000,48.84000
EUR,28-08-2025,47.50000,48.71000
EUR,27-08-2025,47.60000,48.55000
EUR,26-08-2025,47.60000,48.65000
EUR,25-08-2025,47.80000,48.90000
EUR,22-08-2025,47.70000,48.50000
EUR,21-08-2025,48.00000,48.60000
EUR,20-08-2025,48.20000,48.80000
EUR,19-08-2025,48.20000,48.85000
EUR,18-08-2025,48.20000,48.85000
EUR,15-08-2025,48.20000,48.85000
EUR,14-08-2025,48.20000,48.95000
EUR,13-08-2025,48.30000,49.10000
EUR,12-08-2025,48.00000,48.70000
EUR,11-08-2025,48.10000,48.90000
EUR,08-08-2025,48.10000,48.80000
EUR,07-08-2025,48.20000,48.90000
EUR,06-08-2025,48.10000,48.70000
EUR,05-08-2025,48.10000,48.70000
EUR,04-08-2025,48.20000,49.00000
EUR,01-08-2025,47.25000,48.27000
EUR,31-07-2025,47.15000,48.28000
EUR,30-07-2025,48.00000,48.75000
EUR,29-07-2025,48.00000,48.80000
EUR,28-07-2025,48.50000,49.40000
EUR,25-07-2025,48.50000,49.60000
EUR,24-07-2025,48.40000,49.75000
EUR,23-07-2025,48.30000,49.50000
EUR,22-07-2025,48.30000,49.35000
EUR,21-07-2025,48.30000,49.30000
EUR,18-07-2025,48.20000,49.20000
EUR,17-07-2025,48.20000,49.25000
EUR,16-07-2025,48.20000,49.30000
EUR,15-07-2025,48.30000,49.45000
EUR,14-07-2025,48.20000,49.40000
EUR,11-07-2025,48.20000,49.50000
EUR,10-07-2025,48.30000,49.70000
EUR,09-07-2025,48.20000,49.60000
EUR,08-07-2025,48.20000,49.60000
EUR,07-07-2025,48.30000,49.70000
EUR,04-07-2025,48.30000,49.85000
EUR,03-07-2025,48.20000,49.70000
EUR,02-07-2025,48.20000,49.70000
EUR,01-07-2025,48.10000,49.80000
EUR,30-06-2025,48.00000,49.50000
EUR,27-06-2025,47.90000,49.15000
EUR,26-06-2025,47.90000,49.20000
EUR,25-06-2025,47.70000,48.90000
EUR,24-06-2025,47.70000,49.10000
EUR,23-06-2025,47.40000,48.70000
EUR,20-06-2025,47.20000,48.80000
EUR,19-06-2025,47.20000,48.63000
EUR,18-06-2025,47.50000,48.53000
EUR,17-06-2025,47.20000,48.28000
EUR,16-06-2025,47.00000,48.52000
EUR,13-06-2025,47.20000,48.35000
EUR,12-06-2025,47.30000,48.60000
EUR,11-06-2025,47.00000,47.95000
EUR,10-06-2025,47.00000,47.90000
EUR,09-06-2025,47.00000,47.90000
EUR,06-06-2025,46.90000,47.88000
EUR,05-06-2025,46.90000,48.08000
EUR,04-06-2025,46.90000,47.88000
EUR,03-06-2025,46.89000,48.22000
EUR,02-06-2025,46.40000,47.91000
EUR,30-05-2025,46.40000,47.71000
EUR,29-05-2025,46.40000,47.35000
EUR,28-05-2025,46.60000,47.55000
EUR,27-05-2025,46.60000,47.95000
EUR,26-05-2025,46.50000,47.90000
EUR,23-05-2025,46.50000,47.50000
EUR,22-05-2025,46.40000,47.60000
EUR,21-05-2025,46.30000,47.50000
EUR,20-05-2025,46.20000,47.23000
EUR,19-05-2025,46.02000,47.35000
EUR,16-05-2025,46.10000,47.05000
EUR,15-05-2025,46.10000,47.00000
EUR,14-05-2025,46.30000,47.20000
EUR,13-05-2025,45.80000,46.66000
EUR,12-05-2025,45.90000,46.70000
EUR,09-05-2025,46.30000,47.27000
EUR,08-05-2025,46.60000,47.54000
EUR,07-05-2025,46.60000,47.67000
EUR,06-05-2025,46.60000,47.56000
EUR,05-05-2025,46.70000,47.83000
EUR,02-05-2025,46.70000,47.87000
EUR,01-05-2025,46.50000,47.70000
EUR,30-04-2025,46.30000,47.88000
EUR,29-04-2025,46.30000,47.92000
EUR,28-04-2025,46.30000,48.04000
EUR,25-04-2025,46.70000,48.11000
EUR,24-04-2025,46.20000,47.99000
EUR,23-04-2025,47.90000,48.26000
EUR,22-04-2025,47.35000,48.35000
EUR,21-04-2025,46.20000,48.23000
EUR,18-04-2025,46.20000,47.74000
EUR,17-04-2025,46.10000,47.60000
EUR,16-04-2025,45.80000,47.40000
EUR,15-04-2025,45.80000,47.42000
EUR,14-04-2025,45.70000,47.70000
EUR,11-04-2025,45.40000,47.66000
EUR,10-04-2025,45.10000,46.50000
EUR,09-04-2025,45.00000,46.30000
EUR,08-04-2025,44.70000,45.73000
